采样时间,设备名称,卷标,分区1,分区2,分区3,分区4,分区5,分区6,分区7,分区8,分区9,分区10,分区11,纵向趋势,传动侧厚度,操作侧厚度
[2022/7/29 2:02:07],XYR0001,1,100.3977,99.80396,100.1515,99.52176,100.1035,99.75935,99.41158,98.72807,98.90186,98.77302,96.95754,99.31908,99.88864,99.08196
[2022/7/29 2:02:21],XYR0001,1,100.0879,100.0213,99.62336,99.81213,99.79613,99.84382,98.99207,98.7645,98.65887,98.87733,96.40931,99.17152,99.84339,99.04918
[2022/7/29 2:02:35],XYR0001,1,99.91579,100.1336,99.60003,100.0529,99.77937,100.0762,99.03351,98.88219,98.63297,99.01348,96.53265,99.24116,99.87225,99.09628
[2022/7/29 2:02:50],XYR0001,1,100.2759,99.9546,99.91764,99.76563,99.88419,99.60834,99.10384,98.64142,98.69514,98.86604,96.68185,99.21768,99.8772,99.02828
[2022/7/29 2:03:03],XYR0001,1,100.1697,99.98947,99.74924,99.93295,99.78844,99.94353,99.19848,98.80151,98.63102,99.06965,96.82291,99.28154,99.8699,99.08861
[2022/7/29 2:03:17],XYR0001,1,100.3696,99.89146,100.0326,99.67075,99.94942,99.5423,99.18437,98.61949,98.68337,98.89033,97.17509,99.27353,99.87959,99.02583
[2022/7/29 2:03:31],XYR0001,1,100.1799,99.94991,99.81452,99.91252,99.88322,99.89645,99.33504,98.79514,98.65668,98.80735,97.23091,99.3147,99.88586,99.06921
[2022/7/29 2:03:45],XYR0001,1,100.2316,99.9834,99.93493,99.70389,99.85569,99.70156,99.14104,98.56935,98.73094,98.74029,97.08506,99.24343,99.87603,99.01367
[2022/7/29 2:03:59],XYR0001,1,100.3202,99.84731,100.0992,99.5743,100.0251,99.64427,99.39113,98.58985,98.84529,98.83137,97.11794,99.29873,99.8823,99.04169
[2022/7/29 2:04:12],XYR0001,1,100.1212,100.1238,99.59048,99.75996,99.70849,99.75281,99.01015,98.72118,98.5731,98.92297,96.67704,99.17829,99.83034,99.01431
[2022/7/29 2:04:26],XYR0001,1,99.93438,100.1272,99.49207,100.0766,99.57693,100.0287,98.98501,98.87177,98.61076,99.07655,96.4029,99.19844,99.82305,99.07445
[2022/7/29 2:04:40],XYR0001,1,100.2205,99.91277,99.90629,99.79826,99.96332,99.61813,99.12852,98.59408,98.63408,98.87865,96.79082,99.22231,99.86632,99.01219
[2022/7/29 2:04:54],XYR0001,1,100.1476,99.88578,99.88554,99.776,100.0142,99.84162,99.34079,98.61196,98.82175,98.81738,96.78332,99.266,99.88076,99.0569
[2022/7/29 2:05:09],XYR0001,1,100.1539,99.89795,99.96883,99.63779,99.98089,99.75178,99.20773,98.52307,98.85425,98.63973,96.88157,99.22704,99.87512,99.01995
[2022/7/29 2:05:22],XYR0001,1,100.0268,100.0329,99.8451,99.97675,99.83411,100.0458,99.189,98.80215,98.7028,98.76992,96.86449,99.28089,99.90337,99.06915
[2022/7/29 2:05:36],XYR0001,1,100.25,99.88932,99.94238,99.62171,99.93002,99.73388,99.15365,98.48679,98.78661,98.69301,97.08592,99.23393,99.86887,99.01013
[2022/7/29 2:05:50],XYR0001,1,100.3338,99.76888,100.1349,99.59064,100.0814,99.65263,99.39179,98.50073,98.86927,98.80795,96.95387,99.28053,99.88392,99.03074
[2022/7/29 2:06:04],XYR0001,1,100.0629,100.0293,99.70045,99.80816,99.65111,99.76662,98.93929,98.67516,98.53835,98.94746,96.87992,99.18169,99.83192,98.99632
[2022/7/29 2:06:18],XYR0001,1,100.1555,99.84734,99.94923,99.64137,99.98087,99.76342,99.2687,98.70138,98.74422,98.82285,97.0028,99.2616,99.84559,99.03459
[2022/7/29 2:06:32],XYR0001,1,99.99081,99.90717,99.74954,99.76579,99.7257,99.74594,98.96854,98.76488,98.61338,98.91325,96.40701,99.14111,99.81046,99.01456
[2022/7/29 2:06:46],XYR0001,1,99.88128,100.0418,99.80454,99.98534,99.61962,99.95461,98.97395,98.95361,98.65703,99.02962,96.19067,99.19019,99.84188,99.07408
[2022/7/29 2:07:00],XYR0001,1,100.1827,99.90956,99.93804,99.63253,99.93197,99.55759,99.06456,98.61523,98.71152,98.82308,96.74065,99.19158,99.84857,99.00227
[2022/7/29 2:07:13],XYR0001,1,100.1598,99.7612,100.1341,99.59924,100.1422,99.69328,99.42657,98.60707,98.82889,98.8945,96.84192,99.28081,99.88495,99.05495
[2022/7/29 2:07:28],XYR0001,1,100.2229,100.0831,99.91759,99.77519,99.86623,99.73901,99.10433,98.60828,98.70216,98.84241,96.59275,99.22309,99.90031,99.02152
[2022/7/29 2:07:42],XYR0001,1,100.1364,100.033,99.89643,99.87585,99.87809,99.96069,99.24104,98.7589,98.75098,98.78041,96.79868,99.28277,99.91263,99.06765
[2022/7/29 2:07:56],XYR0001,1,100.1936,100.1852,99.7926,99.8755,99.87936,99.81488,98.98889,98.7076,98.6015,98.72997,96.92278,99.24472,99.92496,99.0082
[2022/7/29 2:08:09],XYR0001,1,100.3077,99.92614,99.95833,99.65558,100.1591,99.7765,99.33343,98.66425,98.70823,98.75262,97.12433,99.30602,99.92485,99.03149
[2022/7/29 2:08:23],XYR0001,1,100.0392,100.0193,99.71355,99.68826,99.76385,99.77219,99.10272,98.77248,98.53631,98.83203,96.62279,99.16933,99.84769,99.01449
[2022/7/29 2:08:37],XYR0001,1,99.91663,100.1442,99.59763,99.96118,99.72156,99.97546,99.10103,98.96111,98.53477,98.89412,96.25279,99.18731,99.85277,99.06178
[2022/7/29 2:08:51],XYR0001,1,100.1933,99.88382,99.85163,99.60407,99.96956,99.58218,99.09921,98.63531,98.70348,98.66237,96.77258,99.17796,99.83747,98.98662
[2022/7/29 2:09:05],XYR0001,1,100.2778,99.75916,100.0958,99.63307,100.1113,99.56172,99.42939,98.62209,98.69276,98.76154,96.90595,99.25913,99.87489,99.00275
[2022/7/29 2:09:19],XYR0001,1,100.0344,100.0924,99.62397,99.78123,99.88536,99.77193,98.84452,98.60775,98.42949,98.73037,96.71024,99.13742,99.85739,98.92719
[2022/7/29 2:09:32],XYR0001,1,100.0727,99.91687,99.75968,99.71217,100.0149,99.77444,99.18611,98.74612,98.61797,98.82159,96.97067,99.23575,99.8535,98.98843
[2022/7/29 2:09:47],XYR0001,1,100.0465,100.0499,99.57755,99.78116,99.91251,99.805,99.03745,98.74813,98.38696,98.87632,96.9339,99.19595,99.83957,98.97784
[2022/7/29 2:10:01],XYR0001,1,100.2282,99.85674,99.85238,99.5697,100.1432,99.7702,99.36196,98.70532,98.64704,98.821,96.98489,99.26733,99.84912,99.02779
[2022/7/29 2:10:15],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,39.93965,39.61111
[2022/7/29 2:10:29],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,15.97586,15.84445
[2022/7/29 2:10:42],XYR0001,1,0,0,0,0,0,0,0,0,0,0,92.54001,92.54001,6.390343,6.337778
[2022/7/29 2:10:56],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,2.556137,2.535111
[2022/7/29 2:11:10],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.022455,1.014044
[2022/7/29 2:11:24],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4089818,0.4056177
[2022/7/29 2:11:38],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1635927,0.1622471
[2022/7/29 2:11:52],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.06543709,0.06489882
[2022/7/29 2:12:06],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.02617483,0.02595953
[2022/7/29 2:12:20],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01046993,0.01038381
[2022/7/29 2:12:34],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.004187973,0.004153524
[2022/7/29 2:12:48],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.001675189,0.001661409
[2022/7/29 2:13:02],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0006700756,0.0006645637
[2022/7/29 2:13:16],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0002680302,0.0002658255
[2022/7/29 2:13:30],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0001072121,0.0001063302
[2022/7/29 2:13:43],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,4.288483E-05,4.253207E-05
[2022/7/29 2:13:57],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.715393E-05,1.701283E-05
[2022/7/29 2:14:11],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,6.861572E-06,6.805131E-06
[2022/7/29 2:14:26],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,2.744629E-06,2.722052E-06
[2022/7/29 2:14:40],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.097851E-06,1.088821E-06
[2022/7/29 2:14:53],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,4.391405E-07,4.355283E-07
[2022/7/29 2:15:07],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.756562E-07,1.742113E-07
[2022/7/29 2:15:21],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,7.026247E-08,6.968451E-08
[2022/7/29 2:15:35],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,2.810499E-08,2.78738E-08
[2022/7/29 2:15:49],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.124199E-08,1.114952E-08
[2022/7/29 2:16:02],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,4.496797E-09,4.459808E-09
[2022/7/29 2:16:16],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.798719E-09,1.783923E-09
[2022/7/29 2:16:30],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,7.194875E-10,7.135692E-10
[2022/7/29 2:16:45],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,2.87795E-10,2.854277E-10
[2022/7/29 2:16:59],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.15118E-10,1.141711E-10
[2022/7/29 2:17:12],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,4.604719E-11,4.566842E-11
[2022/7/29 2:17:26],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.841888E-11,1.826737E-11
[2022/7/29 2:17:40],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,7.36755E-12,7.306946E-12
[2022/7/29 2:17:54],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,2.94702E-12,2.922778E-12
[2022/7/29 2:18:08],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.178808E-12,1.169111E-12
[2022/7/29 2:18:21],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,4.715231E-13,4.676444E-13
[2022/7/29 2:18:35],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.886092E-13,1.870578E-13
[2022/7/29 2:18:49],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,7.544369E-14,7.48231E-14
[2022/7/29 2:19:04],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,3.017747E-14,2.992923E-14
[2022/7/29 2:19:18],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.207099E-14,1.197169E-14
[2022/7/29 2:19:31],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,4.828395E-15,4.788677E-15
[2022/7/29 2:19:45],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.931358E-15,1.915471E-15
[2022/7/29 2:19:59],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,7.725431E-16,7.661883E-16
