采样时间,设备名称,卷标,分区1,分区2,分区3,分区4,分区5,分区6,分区7,分区8,分区9,分区10,分区11,纵向趋势,传动侧厚度,操作侧厚度
[2022/7/28 23:36:51],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2022/7/28 23:37:05],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2022/7/28 23:37:18],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2022/7/28 23:37:32],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2022/7/28 23:37:47],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2022/7/28 23:38:00],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2022/7/28 23:38:14],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2022/7/28 23:38:28],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2022/7/28 23:38:42],XYR0001,1,0,0,0,0,0,0,0,0,0,98.32489,97.36106,97.84297,0,11.79899
[2022/7/28 23:38:56],XYR0001,1,99.55202,99.55752,100.1219,100.265,100.5993,100.1047,99.74192,99.19531,99.28352,98.81812,97.29385,99.50302,60.08157,64.37682
[2022/7/28 23:39:10],XYR0001,1,99.66098,99.88035,100.0444,100.3309,100.4214,99.96722,99.47343,99.19157,99.16487,98.99851,97.53447,99.51529,84.13419,85.3662
[2022/7/28 23:39:24],XYR0001,1,99.75594,99.74418,100.1687,100.2772,100.5504,100.0319,99.70518,99.17696,99.25758,99.08138,97.40086,99.55911,93.76475,93.81684
[2022/7/28 23:39:38],XYR0001,1,99.75452,99.88362,100.0039,100.1733,100.3528,99.88432,99.40592,99.10936,99.19718,99.21035,96.93643,99.44653,97.56794,97.14359
[2022/7/28 23:39:51],XYR0001,1,99.62574,99.89948,99.88992,100.2453,100.2301,100.0552,99.40617,99.31345,99.11195,99.1937,96.84563,99.43787,99.06688,98.5071
[2022/7/28 23:40:05],XYR0001,1,99.93279,99.74551,99.92731,99.9438,100.2657,99.7321,99.35648,99.02267,99.25529,99.19287,97.43839,99.43753,99.60911,98.98996
[2022/7/28 23:40:19],XYR0001,1,100.0352,99.59333,100.0289,99.82804,100.4036,99.66512,99.56536,98.97923,99.28965,99.14561,97.43821,99.45203,99.82172,99.19338
[2022/7/28 23:40:33],XYR0001,1,99.85702,99.8905,99.81126,99.99039,100.0784,99.75859,99.09628,99.02132,99.00147,99.10085,97.44217,99.36802,99.89427,99.19477
[2022/7/28 23:40:47],XYR0001,1,99.96504,99.72018,99.92925,99.96751,100.1561,99.72978,99.30809,98.97141,99.03305,99.18429,97.29336,99.38711,99.92367,99.22511
[2022/7/28 23:41:00],XYR0001,1,100.1424,99.64731,99.98744,99.82699,100.1979,99.51205,99.11945,98.82532,98.9104,99.13715,97.12679,99.31211,99.9184,99.15057
[2022/7/28 23:41:14],XYR0001,1,99.87607,99.85124,99.77062,100.0713,100.1298,99.76809,99.18453,98.97716,98.8847,99.12168,97.03534,99.33367,99.9408,99.17257
[2022/7/28 23:41:29],XYR0001,1,100.0298,99.62695,99.91644,99.78207,100.1927,99.4787,99.22285,98.75033,99.11378,98.96495,97.42209,99.31824,99.90405,99.13271
[2022/7/28 23:41:43],XYR0001,1,99.73036,99.84119,99.62973,100.0647,99.99334,99.79034,99.16328,99.03001,98.9656,99.16331,96.95481,99.30242,99.89096,99.18659
[2022/7/28 23:41:56],XYR0001,1,100.0666,99.75188,99.86808,99.82682,100.147,99.38391,99.1957,98.67708,99.06483,99.11793,97.38635,99.31693,99.89545,99.12737
[2022/7/28 23:42:10],XYR0001,1,100.2259,99.57114,100.0558,99.772,100.3224,99.37585,99.47935,98.62836,99.18037,99.15465,97.40405,99.37907,99.91638,99.14918
[2022/7/28 23:42:24],XYR0001,1,99.86852,99.84645,99.83679,99.93346,99.94665,99.58046,99.00426,98.85802,98.88702,99.31764,97.0313,99.28278,99.90105,99.13736
[2022/7/28 23:42:38],XYR0001,1,99.81612,99.91987,99.74598,100.1127,99.92384,99.85182,99.04591,99.11371,98.82784,99.44218,97.23773,99.36706,99.91578,99.20872
[2022/7/28 23:42:52],XYR0001,1,100.0558,99.56525,99.88879,99.74244,100.1474,99.40025,99.13116,98.76362,98.99886,99.22874,97.66524,99.32614,99.86789,99.14621
[2022/7/28 23:43:05],XYR0001,1,100.1013,99.62843,99.8858,99.84902,100.2229,99.55791,99.37241,98.81431,99.14809,99.21391,97.69837,99.40842,99.88507,99.19128
[2022/7/28 23:43:19],XYR0001,1,99.9501,99.77193,99.67134,99.93619,99.90405,99.66637,98.89227,98.91697,98.936,99.23212,97.59564,99.31572,99.84656,99.15376
[2022/7/28 23:43:33],XYR0001,1,100.1529,99.68592,99.86409,99.82469,100.0993,99.59415,99.29556,98.86789,99.11612,99.30328,97.84484,99.42261,99.85973,99.20274
[2022/7/28 23:43:48],XYR0001,1,100.1175,99.90017,99.75395,99.91549,99.87103,99.60109,98.88276,98.85364,98.95708,99.45329,97.88791,99.38127,99.85999,99.17084
[2022/7/28 23:44:01],XYR0001,1,100.1437,99.62179,99.93671,99.82681,100.1616,99.55494,99.32516,98.79137,99.14828,99.36286,97.62685,99.4091,99.87603,99.21025
[2022/7/28 23:44:15],XYR0001,1,100.093,99.80307,99.82277,99.93478,99.97419,99.60033,98.99753,98.87154,98.95988,99.47713,97.21742,99.34106,99.88063,99.19287
[2022/7/28 23:44:29],XYR0001,1,99.82001,99.88678,99.66767,100.0543,99.96555,99.74589,99.16666,99.1736,98.94729,99.41084,97.45395,99.39023,99.8884,99.25047
[2022/7/28 23:44:43],XYR0001,1,100.161,99.70225,99.82672,99.73614,100.1561,99.49405,99.1991,98.90699,99.06934,99.23758,97.78606,99.38866,99.86855,99.20903
[2022/7/28 23:44:56],XYR0001,1,100.2653,99.49174,100.0525,99.73306,100.3042,99.41984,99.42292,98.79661,99.2144,99.35136,97.74174,99.4358,99.88465,99.22823
[2022/7/28 23:45:10],XYR0001,1,99.99734,99.87621,99.82362,99.96667,100.0174,99.61364,99.03748,98.87502,98.93929,99.52246,97.1465,99.34687,99.90645,99.20983
[2022/7/28 23:45:24],XYR0001,1,99.87778,99.94567,99.66869,100.1007,99.94798,99.8725,99.02857,99.14009,98.86954,99.52959,97.28551,99.38787,99.91203,99.25676
[2022/7/28 23:45:38],XYR0001,1,100.2773,99.68362,99.87486,99.732,100.1448,99.41066,99.10043,98.74342,99.04529,99.25755,97.81614,99.37145,99.8801,99.16959
[2022/7/28 23:45:52],XYR0001,1,100.3131,99.69845,99.88708,99.78364,100.2406,99.49362,99.3554,98.78219,99.13847,99.19096,97.84932,99.43027,99.89351,99.18311
[2022/7/28 23:46:06],XYR0001,1,100.1667,99.81587,99.81291,99.69518,100.0553,99.4867,99.07233,98.75732,99.05911,99.19089,97.65038,99.34206,99.8643,99.1412
[2022/7/28 23:46:20],XYR0001,1,100.1303,99.86431,99.77386,99.86558,100.0177,99.63769,99.1358,98.87469,98.93529,99.16091,98.02175,99.40162,99.87393,99.14581
[2022/7/28 23:46:34],XYR0001,1,100.1434,99.96294,99.7533,99.88999,99.92619,99.62504,98.9485,98.82556,98.95396,99.22762,98.06145,99.39255,99.87943,99.12801
[2022/7/28 23:46:48],XYR0001,1,100.2757,99.75246,99.98405,99.7627,100.1059,99.54156,99.24809,98.73326,99.12065,99.38486,97.78378,99.42664,99.89253,99.17461
[2022/7/28 23:47:01],XYR0001,1,100.0868,99.88878,99.72791,99.89011,99.98621,99.47727,98.89227,98.72997,98.76848,99.45299,97.24724,99.28619,99.88097,99.10836
[2022/7/28 23:47:15],XYR0001,1,99.7601,99.91698,99.54484,99.99319,99.85217,99.67429,98.9479,98.8962,98.59475,99.36803,97.08919,99.23978,99.84846,99.10109
[2022/7/28 23:47:29],XYR0001,1,100.0905,99.80426,99.82894,99.633,99.91762,99.3126,98.88606,98.49937,98.82379,99.21094,97.38551,99.21752,99.81696,99.00836
[2022/7/28 23:47:43],XYR0001,1,100.2535,99.40382,99.88454,99.51962,100.102,99.24232,99.23812,98.52206,98.989,99.08752,97.68315,99.26596,99.76328,99.01283
[2022/7/28 23:47:57],XYR0001,1,100.0017,99.75764,99.61024,99.74933,99.81818,99.4065,98.78568,98.74664,98.70311,99.16296,97.60209,99.2131,99.74562,98.98172
[2022/7/28 23:48:11],XYR0001,1,100.0038,99.5227,99.74833,99.69131,99.98936,99.44727,99.08142,98.73689,98.79411,99.14098,97.60957,99.25143,99.741,99.01677
[2022/7/28 23:48:25],XYR0001,1,99.96499,99.69953,99.45522,99.78683,99.75721,99.39114,98.76537,98.6991,98.6565,99.28075,98.06123,99.2289,99.70122,98.98185
[2022/7/28 23:48:39],XYR0001,1,100.0944,99.58064,99.72089,99.56165,100.0889,99.34298,99.1165,98.62609,98.8531,99.18633,97.55538,99.24789,99.7233,99.00774
[2022/7/28 23:48:53],XYR0001,1,99.89312,99.87099,99.50942,99.85004,99.73129,99.358,98.68816,98.68291,98.59419,99.22113,97.31015,99.1554,99.73358,98.94843
[2022/7/28 23:49:07],XYR0001,1,99.87677,99.86145,99.59109,99.97037,99.77944,99.61653,98.89781,98.91437,98.62579,99.37576,97.14982,99.24174,99.77379,99.031
[2022/7/28 23:49:21],XYR0001,1,100.2073,99.61624,99.84437,99.6499,99.98322,99.23192,98.95703,98.63921,98.87434,99.1095,97.82353,99.26696,99.77357,98.98984
[2022/7/28 23:49:34],XYR0001,1,100.0255,99.69736,99.73326,99.81857,99.91446,99.41691,98.97279,98.76228,98.75176,99.10799,97.84685,99.27707,99.78398,98.99734
[2022/7/28 23:49:48],XYR0001,1,99.87285,99.74303,99.69203,99.71871,99.87275,99.35114,98.83235,98.59167,98.76924,99.10171,97.77053,99.21054,99.76757,98.95647
[2022/7/28 23:50:02],XYR0001,1,100.0459,99.55163,99.84531,99.68218,100.0487,99.3739,99.14484,98.56004,98.92931,99.1367,97.80363,99.28384,99.7762,98.99996
[2022/7/28 23:50:16],XYR0001,1,99.9449,99.74039,99.61133,99.80077,99.75815,99.45074,98.80889,98.62614,98.80093,99.35193,97.07951,99.17942,99.74708,99.00462
[2022/7/28 23:50:30],XYR0001,1,99.7564,99.87942,99.54549,99.94115,99.75083,99.67089,98.92319,98.8734,98.77683,99.28861,97.28197,99.24438,99.76637,99.0658
[2022/7/28 23:50:44],XYR0001,1,100.0822,99.64365,99.76692,99.52228,100.01,99.27286,98.97986,98.57932,98.89017,98.98103,97.77479,99.22756,99.74798,98.99071
[2022/7/28 23:50:58],XYR0001,1,99.71566,99.82033,99.50843,99.81648,99.7321,99.6208,98.95907,98.8316,98.72546,99.29224,97.50523,99.22976,99.7308,99.04778
[2022/7/28 23:51:12],XYR0001,1,100.1088,99.61908,99.7296,99.55277,99.93286,99.26672,98.94424,98.49454,98.88448,99.08474,97.5899,99.20071,99.71747,98.98008
[2022/7/28 23:51:26],XYR0001,1,100.2837,99.50184,99.88419,99.4677,100.0868,99.24919,99.29247,98.56635,99.06945,99.06717,97.83876,99.30069,99.72807,99.02139
[2022/7/28 23:51:39],XYR0001,1,99.93972,99.84143,99.5756,99.65523,99.77053,99.36387,98.81893,98.72706,98.63509,99.14569,97.64873,99.19289,99.71764,98.97143
[2022/7/28 23:51:53],XYR0001,1,99.90641,99.72761,99.60551,99.75531,99.85605,99.49863,99.00281,98.83847,98.70356,99.24906,97.54173,99.24411,99.72873,99.02367
[2022/7/28 23:52:07],XYR0001,1,100.2454,99.57652,99.77967,99.54415,99.97781,99.25874,99.02737,98.60191,98.77796,99.14498,97.89119,99.25688,99.72321,98.98679
[2022/7/28 23:52:21],XYR0001,1,100.0429,99.79126,99.63403,99.74822,99.86192,99.48943,99.03984,98.75618,98.80551,99.11652,97.78979,99.27959,99.74461,99.01962
[2022/7/28 23:52:35],XYR0001,1,100.121,99.80511,99.69878,99.64732,99.88131,99.32733,98.89075,98.60808,98.83476,99.18937,97.74091,99.24952,99.75272,98.98988
[2022/7/28 23:52:48],XYR0001,1,100.2472,99.61963,99.84409,99.61768,100.0784,99.33089,99.23555,98.60363,98.95661,99.17265,97.72575,99.312,99.77505,99.03187
[2022/7/28 23:53:03],XYR0001,1,100.0532,99.84666,99.45798,99.70379,99.79538,99.41018,98.82085,98.76361,98.65175,99.35104,97.43755,99.20837,99.7306,99.01244
[2022/7/28 23:53:17],XYR0001,1,100.4108,99.69006,99.86456,99.56282,100.0844,99.15228,99.22023,98.67037,98.95802,99.17644,97.56813,99.30529,99.77252,99.02625
[2022/7/28 23:53:32],XYR0001,1,100.192,100.208,99.59355,99.88022,99.71465,99.56943,98.6944,98.93632,98.73065,98.95191,96.4993,99.17913,99.81847,98.99642
[2022/7/28 23:53:45],XYR0001,1,100.0619,99.71271,99.36642,99.68946,99.77975,99.38761,99.1306,98.02586,98.00753,98.89055,97.2594,99.02834,99.70964,98.81163
[2022/7/28 23:53:59],XYR0001,1,99.55547,99.82223,99.43721,99.78915,99.64243,99.5126,98.76788,98.8961,98.45976,99.04881,97.43298,99.12405,99.68751,98.88687
[2022/7/28 23:54:13],XYR0001,1,100.0734,99.64875,99.72744,99.6955,99.84619,99.39632,99.12339,98.74486,98.83106,99.15405,97.40674,99.2407,99.71268,98.98471
[2022/7/28 23:54:27],XYR0001,1,100.0444,99.73831,99.67239,99.73486,99.80355,99.29395,98.86012,98.70623,98.69016,99.25475,97.05976,99.16895,99.72744,98.9705
[2022/7/28 23:54:41],XYR0001,1,99.91003,99.9196,99.63649,99.94705,99.75556,99.56483,98.86193,98.89257,98.63869,99.33888,96.86884,99.21223,99.77978,99.02383
[2022/7/28 23:54:54],XYR0001,1,100.1805,99.8043,99.87453,99.674,99.92326,99.19225,98.86326,98.52871,98.82994,99.16874,96.97647,99.18327,99.80332,98.95948
[2022/7/28 23:55:08],XYR0001,1,100.4123,99.59482,99.96963,99.60363,100.0987,99.31836,99.22659,98.5564,99.03887,98.99523,97.27287,99.28067,99.81135,99.00005
[2022/7/28 23:55:23],XYR0001,1,100.0236,99.94073,99.6834,99.84984,99.7616,99.51199,98.73709,98.76386,98.7558,99.25552,96.76622,99.18633,99.80988,99.00293
[2022/7/28 23:55:37],XYR0001,1,100.289,99.66307,99.8866,99.68346,100.0361,99.42412,99.16173,98.63888,99.04166,99.11141,97.04381,99.2709,99.81433,99.04651
[2022/7/28 23:55:50],XYR0001,1,100.0505,99.87591,99.45279,99.87626,100.2575,99.65323,99.21835,98.91763,99.11031,99.3153,97.22897,99.3597,99.84509,99.16438
[2022/7/28 23:56:04],XYR0001,1,99.91695,99.92709,99.84534,100.0386,100.3221,99.81538,99.37275,99.04937,99.12499,99.3786,97.29565,99.46243,99.95801,99.27469
[2022/7/28 23:56:18],XYR0001,1,99.91085,99.9743,99.9464,99.98077,100.2222,99.66376,99.11643,98.88519,98.96062,99.23314,97.11411,99.36435,100.0018,99.21297
[2022/7/28 23:56:32],XYR0001,1,99.72684,99.82066,99.90437,99.96388,100.2007,99.70208,99.21585,98.88506,98.88732,99.17414,97.10505,99.326,99.98415,99.18893
[2022/7/28 23:56:46],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,39.99366,39.67557
[2022/7/28 23:56:59],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,15.99746,15.87023
[2022/7/28 23:57:13],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,6.398984,6.34809
[2022/7/28 23:57:27],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,2.559593,2.539236
[2022/7/28 23:57:42],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.023837,1.015694
[2022/7/28 23:57:55],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4095349,0.4062777
[2022/7/28 23:58:09],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1638139,0.1625111
[2022/7/28 23:58:23],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.06552558,0.06500442
[2022/7/28 23:58:37],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.02621023,0.02600177
[2022/7/28 23:58:51],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01048409,0.01040071
[2022/7/28 23:59:04],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.004193636,0.004160283
[2022/7/28 23:59:18],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.001677454,0.001664113
[2022/7/28 23:59:32],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0006709817,0.0006656452
[2022/7/28 23:59:46],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0002683927,0.0002662581
[2022/7/29 0:00:00],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0001073571,0.0001065032
[2022/7/29 0:00:14],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,4.294282E-05,4.260128E-05
[2022/7/29 0:00:28],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.717713E-05,1.704051E-05
[2022/7/29 0:00:42],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,6.870851E-06,6.816204E-06
[2022/7/29 0:00:56],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,2.74834E-06,2.726481E-06
[2022/7/29 0:01:09],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.099336E-06,1.090592E-06
[2022/7/29 0:01:23],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,4.397344E-07,4.36237E-07
[2022/7/29 0:01:37],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.758937E-07,1.744948E-07
[2022/7/29 0:01:51],XYR0001,1,0,0,0,0,0,0,0,0,100.6742,100.2198,97.36096,99.41834,7.035749E-08,24.10729
[2022/7/29 0:02:05],XYR0001,1,100.0389,99.86974,99.16164,99.73632,100.4235,100.5421,99.68014,98.88622,99.62592,99.7664,97.59617,99.57519,59.87868,69.46301
[2022/7/29 0:02:19],XYR0001,1,100.1066,99.90812,99.1316,99.57861,100.2471,100.2695,99.33087,98.65714,98.99635,99.40583,97.58214,99.38308,83.7813,87.38436
[2022/7/29 0:02:33],XYR0001,1,99.94403,99.74167,99.00088,99.5242,100.1788,100.2619,99.41161,98.63427,98.77401,99.24106,97.56409,99.29786,93.27935,94.51248
[2022/7/29 0:02:47],XYR0001,1,0,97.17387,99.23794,99.77578,100.213,100.0551,99.34092,98.86875,98.77815,99.28356,97.11815,98.98452,96.77183,97.36417
[2022/7/29 0:03:01],XYR0001,1,0,0,0,0,0,0,99.59554,99.04224,98.90533,99.30008,97.08765,98.78617,38.70873,86.56685
[2022/7/29 0:03:15],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,15.48349,34.62674
[2022/7/29 0:03:28],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,6.193396,13.85069
[2022/7/29 0:03:42],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,2.477358,5.540277
[2022/7/29 0:03:56],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9909433,2.216111
[2022/7/29 0:04:10],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3963773,0.8864442
[2022/7/29 0:04:24],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1585509,0.3545777
[2022/7/29 0:04:38],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.06342036,0.1418311
[2022/7/29 0:04:52],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.02536814,0.05673242
[2022/7/29 0:05:06],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01014726,0.02269297
[2022/7/29 0:05:20],XYR0001,1,99.95557,100.027,99.2949,0,0,0,0,0,0,0,0,99.75916,29.90235,0.009077187
[2022/7/29 0:05:33],XYR0001,1,99.89984,99.8288,99.83038,99.80338,100.4276,100.0526,99.33825,98.98106,98.97462,98.88319,97.22519,99.38591,71.94447,59.5512
[2022/7/29 0:05:47],XYR0001,1,99.83872,99.83231,100.2029,99.89407,100.3934,100.0507,99.57879,99.06562,98.98713,99.01001,97.19462,99.45893,88.82619,83.42355
[2022/7/29 0:06:02],XYR0001,1,99.88792,100.1276,100.205,99.95267,100.3214,100.101,99.27515,99.06556,99.08778,98.95557,97.16669,99.46784,95.62148,92.94762
[2022/7/29 0:06:16],XYR0001,1,99.87372,100.0878,100.1732,100.0439,100.2531,100.0965,99.41453,99.14067,99.09381,98.99139,97.22554,99.49039,98.3323,96.78748
[2022/7/29 0:06:30],XYR0001,1,99.96191,100.0914,100.2367,99.97488,100.3555,99.9349,99.29066,98.87728,99.15067,98.85613,97.20951,99.44904,99.43169,98.24815
[2022/7/29 0:06:43],XYR0001,1,100.0504,99.87658,100.29,99.84045,100.3544,99.80493,99.48312,98.78439,99.22626,99.01071,97.12248,99.44033,99.82688,98.85639
[2022/7/29 0:06:58],XYR0001,1,100.0081,100.1093,99.97424,99.91255,100.0678,99.90066,98.93247,99.00625,99.04062,99.23132,96.53085,99.33765,99.94033,99.07592
[2022/7/29 0:07:12],XYR0001,1,100.1355,99.75298,100.1986,99.62333,100.1942,99.75077,99.35436,98.8824,99.15611,99.06515,97.10518,99.38351,99.9415,99.17542
[2022/7/29 0:07:26],XYR0001,1,99.98994,100.0169,99.87466,99.79202,99.90475,99.82288,98.81982,98.96985,98.96467,99.07559,97.05069,99.29834,99.91485,99.14851
[2022/7/29 0:07:39],XYR0001,1,99.87617,100.1,99.74758,99.99065,99.86996,100.0366,99.02975,99.0715,98.88327,99.32417,96.77607,99.33689,99.92217,99.22084
[2022/7/29 0:07:53],XYR0001,1,100.2042,99.86016,100.0654,99.55611,100.0887,99.45637,99.15532,98.71001,98.90235,99.20101,97.23925,99.31262,99.90443,99.13934
[2022/7/29 0:08:07],XYR0001,1,100.0961,99.94914,99.98401,99.73679,100.0199,99.7272,99.16169,98.89361,98.95036,99.16074,97.47773,99.37793,99.91524,99.16297
[2022/7/29 0:08:21],XYR0001,1,100.0148,100.1667,99.92036,99.66344,99.87811,99.68951,98.85149,98.84405,98.92441,99.08529,97.47327,99.31922,99.91039,99.11256
[2022/7/29 0:08:35],XYR0001,1,100.2743,99.91835,100.0768,99.47098,100.1058,99.59139,99.25729,98.75182,99.07793,99.103,97.57607,99.38216,99.89995,99.1388
[2022/7/29 0:08:48],XYR0001,1,100.0609,100.0357,99.79382,99.47904,99.95242,99.63372,98.95985,98.82217,98.78107,99.22211,97.18415,99.2659,99.84913,99.10579
[2022/7/29 0:09:02],XYR0001,1,99.92294,100.1153,99.76395,99.79517,99.88858,99.9075,98.9362,99.00904,98.80223,99.35463,96.93848,99.31219,99.87411,99.16347
[2022/7/29 0:09:17],XYR0001,1,100.2336,99.97486,100.0591,99.48663,100.0074,99.42028,99.02829,98.7748,98.96507,99.16515,97.37297,99.31709,99.87883,99.10782
[2022/7/29 0:09:31],XYR0001,1,100.0083,100.0641,99.71359,99.82054,99.93341,99.86957,99.02072,99.02943,98.83893,99.27821,97.23758,99.34677,99.88127,99.16755
[2022/7/29 0:09:44],XYR0001,1,100.2317,99.99653,100.0957,99.5581,100.0591,99.39323,99.10848,98.79525,98.96359,99.11146,97.67151,99.36225,99.90894,99.11166
[2022/7/29 0:09:58],XYR0001,1,100.3855,99.83787,100.1943,99.62648,100.1799,99.4536,99.37329,98.75227,99.11448,99.12818,97.72418,99.43364,99.93936,99.14328
[2022/7/29 0:10:12],XYR0001,1,100.079,100.0425,99.69178,99.7152,99.79,99.73841,98.84421,98.82217,98.9399,99.12615,97.5491,99.30347,99.86166,99.11381
[2022/7/29 0:10:26],XYR0001,1,100.0992,100.0102,99.84596,99.619,99.94888,99.85767,99.03863,98.95071,98.96021,99.38089,97.38648,99.37253,99.85826,99.1881
[2022/7/29 0:10:40],XYR0001,1,100.3368,99.89828,100.0579,99.39195,100.0041,99.46339,99.04865,98.71471,98.95616,99.29546,97.61214,99.3436,99.84614,99.13264
[2022/7/29 0:10:53],XYR0001,1,100.1403,100.0501,99.85535,99.77493,99.83363,99.77981,99.05109,98.98848,98.96065,99.16316,97.81463,99.4011,99.86556,99.16624
[2022/7/29 0:11:07],XYR0001,1,100.3083,99.96067,99.92733,99.57523,99.93698,99.64352,98.92699,98.7839,98.99376,98.95501,97.8114,99.34756,99.85625,99.10287
[2022/7/29 0:11:21],XYR0001,1,100.4028,99.92574,100.1082,99.47549,100.1397,99.54259,99.29527,98.66217,99.07742,98.96828,97.80874,99.40058,99.88987,99.10664
[2022/7/29 0:11:36],XYR0001,1,100.2309,100.1246,99.92685,99.64874,99.74416,99.69127,98.87902,98.80336,98.77859,99.31342,97.01924,99.28728,99.8726,99.09853
[2022/7/29 0:11:49],XYR0001,1,100.2769,99.90958,100.1826,99.55766,100.0713,99.62511,99.2678,98.66924,98.96557,99.18775,97.49659,99.38274,99.90721,99.12527
[2022/7/29 0:12:03],XYR0001,1,100.1359,100.1034,99.86652,99.70271,99.66669,99.68557,98.824,98.83537,98.89996,99.34734,97.36327,99.31188,99.86378,99.12119
[2022/7/29 0:12:17],XYR0001,1,100.0638,100.1793,99.74762,99.93031,99.71815,99.9544,98.93746,99.0146,98.87484,99.41786,97.57211,99.40095,99.88182,99.19238
[2022/7/29 0:12:31],XYR0001,1,100.3648,99.88793,100.1285,99.55684,99.96012,99.37046,99.03001,98.73949,99.05141,99.19729,97.81839,99.37319,99.88273,99.12359
[2022/7/29 0:12:45],XYR0001,1,100.2884,99.88836,100.076,99.69852,99.96556,99.61223,99.25765,98.83457,99.06512,99.22442,97.66045,99.41557,99.89736,99.16872
[2022/7/29 0:12:58],XYR0001,1,100.1505,100.1814,99.78467,99.78031,99.88645,99.69769,98.81638,98.84365,98.88287,99.26579,97.65576,99.35869,99.90387,99.12826
[2022/7/29 0:13:12],XYR0001,1,100.2218,99.90363,99.97302,99.59764,100.0414,99.69386,99.18742,98.8287,99.04604,99.28949,97.69734,99.4073,99.8889,99.17677
[2022/7/29 0:13:26],XYR0001,1,100.1865,99.98368,99.8874,99.52581,99.70945,99.56767,99.06163,98.8268,98.90034,99.34653,97.3872,99.30755,99.82151,99.15506
[2022/7/29 0:13:40],XYR0001,1,100.0496,100.0765,99.83601,99.77901,99.68021,99.85905,98.92064,99.04697,98.90979,99.26483,97.40697,99.34814,99.83436,99.18217
[2022/7/29 0:13:54],XYR0001,1,100.2444,99.90869,100.1065,99.56747,99.82661,99.48622,99.04581,98.72507,98.9778,99.13429,97.75938,99.34384,99.84514,99.11717
[2022/7/29 0:14:08],XYR0001,1,100.012,100.0044,99.81787,99.91475,99.6801,99.86876,98.94067,98.93129,98.87825,99.38812,97.13516,99.32468,99.85062,99.16772
[2022/7/29 0:14:22],XYR0001,1,100.3742,99.89468,100.1344,99.58366,99.90748,99.48891,99.02815,98.65282,98.98975,99.20373,97.40347,99.33284,99.86828,99.11069
[2022/7/29 0:14:36],XYR0001,1,100.3836,99.76662,100.2199,99.50838,100.1402,99.57866,99.36113,98.66962,99.17344,99.22422,97.59618,99.42017,99.89256,99.16512
[2022/7/29 0:14:50],XYR0001,1,100.2129,100.1287,99.93732,99.75073,99.62213,99.65511,98.77845,98.81198,98.84959,99.1793,97.6346,99.32372,99.87286,99.09898
[2022/7/29 0:15:03],XYR0001,1,100.0779,99.9872,99.94687,99.7956,99.75233,99.79988,99.01988,98.86978,98.93566,99.31808,97.50415,99.3643,99.87144,99.15279
[2022/7/29 0:15:17],XYR0001,1,100.3224,99.8476,100.0798,99.5332,99.76775,99.46202,98.98616,98.70757,98.95177,99.23276,97.75564,99.33152,99.83283,99.10195
